Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
SS221,1.5.1.0,richard,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,NodeColor,en
62,,[],,[],伏尔图斯侵蚀体,[],,FALSE,,Voltus erosive body
63,,[],,[],高级所多提斯战士,[],,FALSE,Gray,The superior soldier of Sodtyx
68,,[],,[],圣山之门,[],,FALSE,,The door of the ShenShan
69,,[],,[],查克,[],,False,,chuck
71,,[],,[],矩石,[],Start Matches Games,False,Gray,Moment of stone
72,,[],,[],暗街杀手,[],,FALSE,Gray,Dark street killer
73,,[],,[],暗街商人,[],,FALSE,,Dark street merchants
74,,[],,[],帕洛尔元素,[],,FALSE,,Parlo element
75,,[],,[],帕洛尔侵蚀体,[],,FALSE,,Parlo erosion body
76,,[],,[],伏尔侵蚀体,[],Chap08,FALSE,,Voltaire erosion body
77,,[],,[],伏尔元素,[],,FALSE,,Vor elements
80,,[],,[],所多提斯侵蚀体,[],Chap09 Final Chap At Sodtyx End with Chaos,FALSE,,Sodotes erosive body
81,,[],,[],托尼,[],Uncle Montana,FALSE,,Tony
82,,[],,[],所多提斯协议,[],,FALSE,,The agreement of Sodtyx
83,,[],,[],狱魔,[],,FALSE,,Prison magic
84,,[],,[],蒙大拿,[],Who jail by Toni,FALSE,,Montana
86,,[],,[],真理之门,[],Final Battle with Chaos,FALSE,,The door of truth
87,,[],,[],战争,[],,FALSE,,The war
88,,[],,[],痛苦,[],,FALSE,,pain
89,,[],,[],死亡,[],,FALSE,,death
90,,[],,[],饥饿,[],,FALSE,,hunger
91,,[],,[],凯奥斯,[],,FALSE,,"Koko,"
92,,[],,[],生命地图,[],,FALSE,,Map of life
93,,[],,[],肯,[],,FALSE,,Ken
97,,[],,[],回滚,[],,False,,The rollback
98,,[],,[],瑞奇成员,[],,FALSE,,Members of the rich
99,,[],,[],矩石,[],,FALSE,Gray,Moment of stone
100,,[],,[],戈林皇冠,[],,FALSE,,Goering crown
101,,[],,[],戈林幽魂,[],,FALSE,,Goering ghosts
102,,[],,[],湖门,[],"When DungeonBoss>=1 at SodtyxBreak,  can change dungeon to ""HU"" as Dungeon(needs battle)",FALSE,,Lake door
103,,[],,[],所多提斯侵蚀体,[],,FALSE,Gray,Sodotes erosive body
104,,[],,[],真理之门,[],,FALSE,,The door of truth
105,,[],,[],奎里姆,[],,FALSE,,Kratos in
106,,[],,[],奎卡迷失者,[],,FALSE,Gray,The Qika Lost
107,,[],,[],奎卡迷失者头目,[],,FALSE,,Qika lost leader
108,,[],,[],谁人,[],,False,,The who
109,,[],,[],迷失实体,[],,False,,Lost entity
110,,[],,[],奎卡盗猎者,[],,FALSE,,The Qika poacher
Items
ID,Name,Pictures,Description,Is Item,Success Description,Failure Description,State,Locations,Display Name,Trackable,Track,XP Reward,Scrap Reward,Item Reward Amount,Item Reward,Entry Count,Entry 1,Entry 1 State,Entry 1 Display Name,Entry 1 Active,Entry 1 Success,Entry 1 CurrentAmount,Entry 1 GoalAmount,Entry 2,Entry 2 State,Entry 2 Display Name,Entry 2 Active,Entry 2 Success,Entry 2 CurrentAmount,Entry 2 GoalAmount,Entry 3,Entry 3 State,Entry 3 Display Name,Entry 3 Active,Entry 3 Success,Entry 3 CurrentAmount,Entry 3 Goal Amount,Abandonable,Group,Entry 1 Target,en QuestName,en QuestDetails,QuestMan,enQuestName,enQuestDetails
Number,Text,Files,Text,Boolean,Text,Text,Text,Text,Text,Boolean,Boolean,Number,Number,Number,Text,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Boolean,Text,Actor,Localization,Localization,Actor,Text,Text
1,尝试获取瑞奇的信任,[],瑞奇或许有办法弄到克农协议,FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Try to gain Ricky's trust,Ricky might have a way to get the Canon agreement,,,
2,洛斯据点插入信号放大器,[],"瑞奇党的信号被所多提斯屏蔽了,需要在洛斯据点插入放大器越过所多提斯人的屏障",FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,FALSE,,,Ross stronghold insertion signal amplifier,"The rich signal is blocked by sodotis, and an amplifier needs to be inserted at the los stronghold to bypass the sodotis barrier",,,
3,托奇的需求,[],托奇需要克农以及虚假的协议带回肯托,False,,,unassigned,,,False,True,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,False,,,Totchy's needs,Torch needs Kenon and a bogus deal to bring back Kento,,,
4,前往地下列车,[],,FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,,,,To the subway,,,,
5,油管堵塞,[],列车输油管堵塞需要疏油剂疏通管道.,FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,The tubing plug,A clogged train pipeline needs a grease trap to unclog it.,,,
6,前往沃里达,[],"奎里姆告诉我提娜的方向,告诉我赶紧逃离奎卡",False,,,unassigned,,,False,True,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,False,,,To woreda,Quelim gave me directions for Tina and told me to get away from queoka,,,
7,战胜莱曼,[],战胜莱曼进入路德亚据点,FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,,,,Victory over lehman,Defeat Lyman and enter the Lutheran stronghold,,,
8,与金谈谈,[],"来到了由路德亚占领的地下运输网,需要跟金谈谈",FALSE,,,unassigned,,,FALSE,TRUE,0,0,0,,0,,(None),,,,0,1,,(None),,,,0,1,,(None),,,,0,1,,,,Talk to gold,They come to the underground transport network occupied by Luthera and need to talk to King,,,
9,鼹鼠行动,[],路德亚计划击退莱得尼的计划,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The mole action,Luthera plans to repel Ledney's plan,,,
10,截取货物,[],莱得尼交接处,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercept the goods,Ledney junction,,,
11,新生,[],"击败所多提斯时遇到特律,自由联合协会的游侠",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reborn,"Defeating Sodotes and encountering Ted, the Ranger of the Association of Free Unity",,,
12,重获新生,[],"我从奎卡逃离,需要知道前往沃里达的路",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,A new lease on life,I escaped from Kuika. I need to know the way to Wolida,,,
13,试图离开奎卡,[],"从奎利姆得知所多提斯将血洗奎卡,需要先找到离开奎卡的方法",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trying to leave Queika,It is learned from quelim that sodotis will bloody queika and needs to find a way to leave queika,2,,
14,说服托奇提供地下列车的地点,[],"陆地的线路被所多提斯人占领,但是还存在着一条失修已久地下线路",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convince Torch to provide the location of the underground train,"The overland route was occupied by the Sodotians, but there was also an underground route that had fallen into disrepair",,,
15,找到奎利姆,[],查克跟我说问问奎利姆,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Found Quimu,Chuck told me to ask Quillim,,,
16,等到奎卡发车时间,[],"肯托列车能将我们逃离奎卡,需要等到发车时间",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Wait for Queca's start time,The Kentor train can get us out of Kuika. We need to wait until departure time,,,
17,从下水道逃离奎卡,[],"所多提斯人开始屠杀奎卡人,我们需要从下水道离开奎卡",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,1,[var=DungeonBoss]/1 击败,active,,,,0,1,,(None),,,,,,,(None),,,,,,FALSE,,9,Escape from Queika through the sewers,The Sodotes are killing the Queikas. We need to get out of Queikas through the sewers,,,
18,战胜黑色史密斯,[],战胜史密斯后会告诉我如何制作物品,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,1,[var=DungeonBoss]/ 1 击败,active,,,,0,0,,(None),,,,,,,(None),,,,,,FALSE,,10,Overcome Black Smith,Will you tell me how to make items after defeating Smith,,,
20,丛林奇兵,[],去丛林获取制作物品的材料,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,1,[var=万能材料] / 3 已获取,active,,,,0,0,,(None),,,,,,,(None),,,,,,FALSE,,,The rundown,Go to the jungle to get the materials to make things,,,
21,与托奇对话,[],尝试问问托奇看看他知道些什么,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Talk to Torch,Try asking tochi what does he know,,,
22,设法找到瑞奇党的据点,[],"瑞奇党在奎卡旁边生存着,或许他们有可能弄到克农",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Try to find the Rich stronghold,Richie's living next to Queika. Maybe they can get Canon,,,
23,保护列车,[],"地底列车遭到了地下爬虫的袭击,我临危受命成为了一名清扫夫",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,To protect the train,"The underground train was attacked by underground reptiles, and I was ordered to become a sweeper",,,
24,袭击莱德尼港口,[],袭击莱德尼港口,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Attack the port of Ledney,Attack the port of Ledney,,,
25,与南讨论进攻方向,[],"与南讨论古代武器发射方向,",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Discuss the direction of attack with Nan,"To discuss with Nan the direction of firing ancient weapons,",,,
26,打开莱德尼大门,[],与南讨论进攻的方向,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Open the gates of Ladney,Discuss the direction of attack with Nan,,,
27,清理莱德尼,[],大门打开后即可以清除莱得尼据点,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Cleaning up Ledney,"When the gates are opened, the Lydney stronghold can be cleared",,,
28,重要的解释,[],新手教程,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Important explanation,The tutorial,,,
29,与凯交谈,[],"成功占领了地下线路后,金告诉我们去沃里达由路德亚控制的酒馆",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to kay,"After successfully capturing the underground line, King tells us to go to the Woreda tavern controlled by Luthera",,,
30,前往查克商店,[],前往查克的商店寻找缇娜的踪迹,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head to Chuck's Store,Head to Chuck's store and look for Tina,,,
31,生命行情,[],路德亚控制的生命道路似乎有利可图,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Life on,The path of life that Luthera controls seems to be profitable,,,
32,久坐成疾,[],聪明的智商占领高地导致下半身瘫痪是个值得研究的问题,False,,,unassigned,,,False,False,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,False,,,Sedentary into a disease,Clever IQ to occupy the high ground resulting in lower body paralysis is worth studying the problem,,,
33,老海盗,[],"海轮党,一群狡猾的海盗",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The old pirate,"Seafarers, a group of cunning pirates",,,
34,不见天日,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,under the dark rule,,,,
35,与沃克谈论身份验证,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to Walker about authentication,,,,
36,帮助老瘸子获得戈林核心,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Help the old cripple gain the Goring Core,,,,
37,帮助武装力量获得戈林核心,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Help the armed forces gain the Goring core,,,,
38,地下交易,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Underground trade,,,,
39,挖掘一块矩石,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dig a stone of moments,,,,
40,解救缇娜,[],解救提娜,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save Tina,Save Tina,,,
41,重置海域,[],帕洛尔海域需要重置海域从而清理侵蚀化,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reset the waters,The Palor Sea needs to be redeployed to clean up erosion,,,
42,拯救帕热,[],"帕热被侵蚀体占领,需要帮助帕热清理侵蚀体",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save Pareu,"Page is occupied by erosive bodies, need to help Page clean up the erosive bodies",,,
43,前往肯托,[],肯托公司有办法从空中前往所多提斯,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To KenQuo,KenQuo has a way to get to Sodotis by air,,,
44,创始之初,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At the beginning of the founding,,,,
45,首次使用刀锋,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The first use of the blade,,,,
46,与肯交谈,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to Can,,,,
47,丛林泰山,[],,FALSE,,,unassigned,,,,,,,,,1,,unassigned,,,,,,,,,,,,,,,,,,,,,,,Mount tai is a jungle,,,,
48,最后一跃,[],飞往所多提斯,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final leap,Fly to Sodtyx,,,
49,伏尔武器,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vor weapons,,,,
50,破坏外界协议,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach of external agreement,,,,
51,湖中人,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People in the lake,,,,
52,天国阶梯,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The kingdom of heaven ladder,,,,
53,新的选择,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New options,,,,
54,未知方向,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direction of the unknown,,,,
55,借克农记,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borrow grams of farmers to remember,,,,
56,与莱曼交谈,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to Lyman,,,,
57,与金交谈,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to the gold,,,,
58,武装力量矿工,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces Miners,,,,
59,黑市交易行,[],,FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black market house,,,,
60,修复飞船,[],"我发现了出事地,需要找到修理飞船的方法",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To repair the ship,I found the crash site. I need to find a way to fix the ship,,,
61,对战,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Against the,,,,
62,一切的开始,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,The beginning of everything,,,,
63,夺回古柯草,[],"古柯草被地下势力瑞奇党偷窃,前往失落的地下城去抢夺3个古柯草",FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Take back the coca,The coca is stolen by the underground forces of the rich party. Go to the lost dungeon to snatch 3 coca plants,,,
64,瑞奇党,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Ricky party,,,,
65,找到缇娜,[],提娜不见了需要找到他,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Find Tina,Tina's gone We need to find him,,,
66,前往沃里达,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,To woreda,,,,
67,千钧一发,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,A close call,,,,
68,新生,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,new,,,,
69,重获新生,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,A new lease on life,,,,
70,说服托奇提供地下列车的地点,[],托奇知道如何前往沃里达但是他似乎有事情要做,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Convince Torch to provide the location of the underground train,Torchi knows how to get to Woleda but he seems to have something to do,,,
71,保护地下列车,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Protecting the Underground Trains,,,,
72,借克农记,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Borrow Kono,,,,
73,乘胜追击,[],"从蒙大拿口中得知了托尼的位置,需要尽快接触协议的生成状态",FALSE,,,unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56-point thrashing,"Knowing Tony's location from Montana, he needs to get in touch with the protocol generation status as soon as possible",,,
74,生存技巧,[],收集物品并制作抵抗侵蚀的物品(制作一个探险者项链),FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Survival skills,Collect items and make erosion-resistant items (make an Explorer necklace),,,
75,钻木取火,[],找到抵御寒冷的方法,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Simulated flight,Find a way to protect yourself from the cold,,,
77,苏醒,[],我诞生了,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Wake up,I was born,,,
78,生为何体,[],,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Why living body,,,,
79,与查克交谈,[],与查克交谈,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,Talking with Chuck,Talking with Chuck,,,
80,滑溜溜的丛林,[],产生滴虫体液的地方,FALSE,,,unassigned,,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,FALSE,,,The slippery jungle,The place where the body fluids of trichomonads are produced,,,
Locations
ID,Name,Pictures,Description
Number,Text,Files,Text
1,New Location 1,[],
Variables
ID,Name,Initial Value,Description,InitialValueType
Number,Text,Number,Text,Text
0,WetBug,0,,Number
1,PlayerMoney,0,Update for playerMoney,Number
2,HasBrokeLedyneEntrance,False,"different to is ancient weapon is  Charge,if true skip the dungeon relative to inside",Boolean
3,古柯草,0,,Number
4,isKill,False,,Boolean
5,瑞奇党成员,0,,Number
6,所多提斯士兵,0,所多提斯士兵,Number
7,吉里唐,13,,Actor
8,DungeonMonster,0,,Number
9,DungeonBoss,0,,Number
10,DungeonKey,False,,Boolean
11,DungeonCurrent,0,,Number
12,DungeonGoal,3,,Number
13,特律,0,,Number
14,TeriIsKill,False,,Boolean
15,黑色史密斯,0,,Number
16,万能材料,0,制作物品材料,Number
17,TeriHasDefeat,False,,Boolean
18,ItemEnough,False,quu,Boolean
19,CollectDone,False,CollectItemCheck,Boolean
20,MoneyEnough,False,,Boolean
21,Code,,,Text
22,DMPerc,0,count kill with float,Number
23,HasPack,False,Validate Pack,Boolean
24,MatrixStone,0,got from DACave,Number
25,OceanCode,,,Text
26,BladeTrainNum,0,,Number
27,PlayerID1,0,GotIdByWalker who was wolvda boss,Number
28,WalkerCash,0,,Number
29,PlayerIDVIP,False,ID by Walker (p),Boolean
30,GoreRing,False,,Boolean
Conversations
ID,Title,Pictures,Description,Actor,Conversant,enTitle,enDetails
Number,Text,Files,Text,Actor,Actor,Localization,Localization
2,地下列车,[],,1,4,,
6,滴虫,[],"滑溜溜的丛林,体内的液体具有非常好的润滑作用",1,2,,
7,地下爬虫,[],,1,5,,
9,滴滴露,[],"滴虫母体,具有非常强的自我繁殖能力",1,23,,
10,莱曼,[],"ludya势力位于常年位于地下,隔绝圣山网的攻击利用机械勘探深层资源,地下列车击败爬虫网后拦截。\n1.money  \n2.battle\n3.pass",1,24,,
11,金,[],,1,27,,
12,托,[],,1,25,,
13,南,[],,1,26,,
15,古代武器,[],,1,2,,
16,平克,[],lynde boss,1,13,,
17,弗伊,[],"lynde 武装大臣,负责管理莱得尼成员",1,14,,
18,莱尼,[],,1,16,,
20,特律,[],"遇到特律并前往奎卡人营地,并通过特律的引导",1,8,,
21,黑色史密斯,[],,1,10,,
23,矮人托奇,[],"肯托与奎卡贸易的商人,前往奎卡交易克农.\n帮助托奇偷窃克农,或者与瑞奇党协商克农\n(Chap02)",1,3,,
24,瑞奇,[],"瑞奇党的头目,在圣山欺骗事件后被惩罚变成了老鼠,\nu found the ruiqi und talking with lock dialogue .\nat the common, \nbattle with ruiqi und get the fake protocol.(Chap02)",1,2,,
25,Qika History,[],,1,105,,
26,信号放大器,[],,1,19,,
27,所多提斯射手,[],,1,9,,
