Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
THDN,1,RichardLynch,THDN,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,NodeColor,Display Name en
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text,Text
1,,[],,[],Player,[],,True,Blue,Player
2,,[],,[],Zino,[],"the first guy who save at sodtyxjails2 , help him esacpe from the jails needs key  ",FALSE,Gray,Zino
3,,[],,[],Paven,[],,False,Gray,Paven
4,,[],,[],Terminal,[],The Terminal for player can connect with ludya base,FALSE,Gray,Terminal
5,,[],,[],Tunnel,[],Trigger to Matches Module,FALSE,Gray,Tunnel
6,,[],,[],Shrine,[],,FALSE,Gray,Shrine
7,,[],,[],SodtyxGuard,[],,FALSE,Gray,SodtyxGuard
8,,[],,[],KuQuo,[],,FALSE,,KuQuo
9,,[],,[],SodtyxGuardBrain,[],"Save every Indie Mind container room , can hacker und check science skill ",FALSE,,SodtyxGuardBrain
10,,[],,[],Nam,[],,False,Gray,Nam
11,,[],,[],Rica,[],,False,Gray,Rica
12,,[],,[],Diablo,[],,False,Gray,Diablo
13,,[],,[],TrainTerminal,[],Link To KenQuo SoulView Layer,FALSE,,TrainTerminal
14,,[],,[],SodtyxTrain,[],,FALSE,,SodtyxTrain
15,,[],,[],Testing,[],,FALSE,,Testing
16,,[],,[],JailsTerminal,[],,FALSE,Gray,JailsTerminal
17,,[],,[],Shrine,[],,FALSE,Gray,Shrine
18,,[],,[],SVT,[],,FALSE,Gray,SVT
19,,[],,[],TUR,[],,FALSE,Gray,TUR
Items
ID,Name,Pictures,Description,Is Item,Success Description,Failure Description,State,Display Name,Trackable,Track,XP Reward,Scrap Reward,Item Reward Amount,Item Reward,Entry Count,Entry 1,Entry 1 State,Entry 1 Display Name,Entry 1 Active,Entry 1 Success,Entry 1 CurrentAmount,Entry 1 GoalAmount,Entry 2,Entry 2 State,Entry 2 Display Name,Entry 2 Active,Entry 2 Success,Entry 2 CurrentAmount,Entry 2 GoalAmount,Entry 3,Entry 3 State,Entry 3 Display Name,Entry 3 Active,Entry 3 Success,Entry 3 CurrentAmount,Entry 3 Goal Amount,Locations,Entry 1 Target,Abandonable,Group,QuestMan,Name en,Description en
Number,Text,Files,Text,Boolean,Text,Text,Text,Text,Boolean,Boolean,Number,Number,Number,Text,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Text,Actor,Boolean,Text,Actor,Localization,Localization
1,解救基诺,[],,FALSE,,,unassigned,,TRUE,TRUE,0,0,0,,1,[var=EnemyHasKilled]/1 has killed,active,,,,0,0,,(None),,,,,,,(None),,,,,,,,FALSE,,,Save Zino,
2,逃离监狱,[],,False,,,unassigned,,False,False,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,False,,,Escape Jails,
3,解救帕文,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Save Paven,
4,丛林历险,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Welcome to the Jungle,
5,强力物品,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,The Powerful Items,
6,塔中怪物,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Tower Monster,
7,解救库左,[],,False,,,unassigned,,False,False,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,False,,,Save KuQuo,
8,侵入肯托公司控制,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,HackTheKenquoControl,
9,收集核心,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,CollectTheCore,
10,列车任务_1,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_1,
11,列车任务_2,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_2,
12,列车任务_3,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_3,
13,清除,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,1,[var=QuestRoomMonster]/1 clear,active,,,,0,200,,(None),,,,,,,(None),,,,,,,,FALSE,,,Clear,
Locations
ID
Number
Variables
ID,Name,Initial Value,Description,InitialValueType
Number,Text,Text,Text,Text
1,Alert,,,Text
2,EnemyHasKilled,0,,Number
3,ItemCollected,0,,Number
4,HasCollectKey,FALSE,When Player pick up the quest key needs notice und  update the quest state,Boolean
5,Unlock,FALSE,"For terminal who needs hack for lock set,when success reset when got reward",Boolean
6,CheckSkillSuccess,FALSE,Check the perc skill success,Boolean
7,MonsterCounter,0,Counter one of the quest monster reset until complete,Number
8,QuestTerminalHacking,FALSE,Check the state for questing terminal when successfully,Boolean
9,TInput,,,Text
10,ContainsItems,FALSE,,Boolean
Conversations
ID,Title,Pictures,Description,Actor,Conversant,enTitle,enDetails
Number,Text,Files,Text,Actor,Actor,Localization,Localization
1,Zino,[],"The first npc player meet , start the first quest in this game , the first quest for player ist show player the game player und the background .",1,2,,
2,SodtyxTerminal,[],,1,16,,
3,SodtyxGuardBrains,[],"Dead Body that can Hack, when guard die spawn the brain for hacker opreation",1,9,,
4,Paven,[],"Paven jail at the sj-1,who can save him with the the hacker skill  at the termainl , when save paven successfully , player can dialogue with the paven in the outdoor ,that will explore with a new quest .",1,3,,
5,SodtyxTerminal,[],"the terminal as the science skil for player needs win the matches module, the matches for player includes \n1.scores limit\n2.time limt\n3.",1,4,,
6,SodtyxTrain,[],"the runtime sene will set the player at the trains , player game at the trains und stream with rolling train ,when train move to the edge of the map , loading ",1,14,,
7,Nam,[],,1,10,,
8,TrainTerminal,[],,1,2,,
9,Testing,[],,1,15,,
10,KuQuo,[],the last party guy who save at entrance,1,8,,
11,Shrine,[],,1,17,,
12,SVL_-1Layer,[],,1,18,,
13,THDNRules,[],,1,19,,
14,Ludya Terminal,[],,1,4,,
DialogueEntries
entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,Response Menu Sequence,Portraits Visible,EventGuid,en,Name en,canvasRect
Paven_4_2,4,2,3,1,,,"hey guys,have u seen zino  , sodtyx guard locked him at the others jails, we need hurry up und rubber trains return to ludya .",False,Block,Normal,"CurrentQuestState(""Save Paven"")==""unassigned""",,,[],,,[],,,FALSE,,,{{omit}},170.4203;125.5575
Paven_4_3,4,3,3,1,New Dialogue Entry,,,False,Block,Normal,"CurrentQuestState(""Save Paven"")==""active""",,,[],,,[],,,FALSE,,,{{omit}},409.992;118.9067
Paven_4_6,4,6,3,1,,,"okey,we need leave here, but  we need save KuQuo ",False,Block,Normal,"Variable[""QuestTerminalHacking""]~=false","SetQuestState(""Save Paven"",""success"");\nVariable[""QuestTerminalHacking""]=false;",,[],TODO Add reward,,[],,,FALSE,,,{{omit}},506.8051;228.2533
Player_4_8,4,8,1,3,,,"he's free now, how to save u?",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},122.7187;349.1571
Player_4_9,4,9,1,3,,,"(Cheat)No ,he's in hell now ,what a sad news ",False,Block,Normal,,,,[],"Check the pp skill ,when success then can add the ppexp ",,[],,,FALSE,,,{{omit}},344.1096;303.9788
Paven_4_10,4,10,3,1,,,Counter the perc,False,Block,Normal,,"CheckPersonalSkill(""Chest"",70);",,[],Counter the perc und check the success,,[],,,FALSE,,,{{omit}},558.2535;378.495
Paven_4_11,4,11,3,1,,,"found the terminal und hack it , the door lock by the sv lock that needs unlock from terminal",False,Block,Normal,,"SetQuestState(""Save Paven"",""active"");",,[],,,[],,,FALSE,,,{{omit}},289.5045;618.9118
Paven_4_12,4,12,3,1,,,"(Success)oh man,that was the bad new ",False,Block,Normal,"Variable[""CheckSkillSuccess""]~=false","AddPersonalSKill(""Cheat"",15);",,[],,,[],,,FALSE,,,{{omit}},492.0297;554.1638
Paven_4_13,4,13,3,1,,,"(Failed)i saw him due ,u r suck ",False,Block,Normal,"Variale[""CheckSkillSuccess""]~=true",,,[],,,[],,,FALSE,,,{{omit}},366.9785;394.2068
Player_4_14,4,14,1,3,,,where's KuQuo?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},601.8389;281.1086
Paven_4_15,4,15,3,1,,,"he's locked at the entrance ,near by the gate ",False,Block,Normal,,"SetQuestState(""Save KuQuo"",""active"");",,[],,,[],,,FALSE,,,{{omit}},730.8819;317.1453
Paven_4_16,4,16,3,1,New Dialogue Entry,,,False,Block,Normal,,,,[],"  Paven Part for player need hack the terminal as the matches module to complete. The matches module for player matches gp at the time limit that succes hack\n  when player success hacking ,unlock the event und get reward (SCIENCE && EXP ) ,when terminal at dungeon with ",,[],,,FALSE,,,{{omit}},21.05098;32.77103
Paven_4_17,4,17,3,1,New Dialogue Entry,,,True,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},536.4466;173.3721
Paven_4_18,4,18,3,1,,,"hurry up ,bros!!!!",False,Block,Normal,"Variable[""QuestTerminalHacking""]~=true",,,[],,,[],,,FALSE,,,{{omit}},752.2149;198.9763
Player_5_0,5,0,1,4,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},334;34
Terminal_5_1,5,1,4,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},335;115
Player_5_2,5,2,1,4,,,Hack,False,Block,Normal,,MatchModule();,,[],,,[],,,FALSE,,,{{omit}},87;167
Player_5_3,5,3,1,4,,,Try Skip,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},346;186
Player_5_4,5,4,1,4,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},537;204
Terminal_5_5,5,5,4,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},342.9104;244.0895
Terminal_5_6,5,6,4,1,New Dialogue Entry,,,False,Block,Normal,"Variable[""CheckSkillSuccess""]~=false",,,[],,,[],,,FALSE,,,{{omit}},235;331
Terminal_5_7,5,7,4,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},448;324
Player_6_0,6,0,1,14,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},239.5187;31.42784
SodtyxTrain_6_1,6,1,14,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},331.1715;93.25131
Player_7_0,7,0,1,10,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},203;31
Player_8_0,8,0,1,2,START,,,False,,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},20;30
Player_9_0,9,0,1,15,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},196;10
Testing_9_1,9,1,15,1,,,testing,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},221;74
Player_9_2,9,2,1,15,,,add monster counter,False,Block,Normal,,"Variable[""MonsterCounter""]=1;",,[],,,[],,,FALSE,,,{{omit}},15;170
Player_9_3,9,3,1,15,,,Give Item Door Key,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},203;212
Player_9_4,9,4,1,15,,,Set Zino Done,False,Block,Normal,,"SetQuestState(""Save Zino"",""success"");\n",,[],,,[],,,FALSE,,,{{omit}},415;230
Player_9_5,9,5,1,15,,,Hacking Terminal,False,Block,Normal,,"Variable[""QuestTerminalHacking""]=true",,[],,,[],,,FALSE,,,{{omit}},594;104
Testing_9_6,9,6,15,1,,,done,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},470;328
Player_9_7,9,7,1,15,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},601;42
Player_9_8,9,8,1,15,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},566;152
Testing_9_9,9,9,15,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},784;135
Player_10_0,10,0,1,8,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},587.481;4.81012
KuQuo_10_1,10,1,8,1,,,"we need return to ludya  with the train , the last trains with large kuno  what i heard in guard  . ",False,Block,Normal,"CurrentQuestState(""Save KuQuo"")==""unassnigned""",,,[],,,[],,,FALSE,,,{{omit}},318.2025;99.84811
Player_10_2,10,2,1,8,,,how's unlock the gate ?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},406.2784;149.3924
KuQuo_10_3,10,3,8,1,,,"found the terminal ,it locate one of the room near the entrance .",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},407.5442;198.1264
Player_10_4,10,4,1,8,,,i'll found it,False,Block,Normal,,"SetQuestState(""Save KuQuo"",""active"");",,[],,,[],,,FALSE,,,{{omit}},341.7215;274.7089
Player_10_5,10,5,1,8,,,"adios ,amigo (that kill the KuQuo)",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},548.0507;277.2404
KuQuo_10_6,10,6,8,1,New Dialogue Entry,,,True,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},557.3542;59.67087
KuQuo_10_7,10,7,8,1,New Dialogue Entry,,,False,Block,Normal,"CurrentQuestState(""Save KuQuo"")==""active""",,,[],,,[],,,FALSE,,,{{omit}},807.0505;78.17722
KuQuo_10_8,10,8,8,1,New Dialogue Entry,,,True,Block,Normal,,"SetQuestState(""Save KuQuo"",""active"");",,[],,,[],,,FALSE,,,{{omit}},868.443;137.5696
KuQuo_10_9,10,9,8,1,,,"okey, leave sodtyxjails through the entrance.",False,Block,Normal,"Variable[""QuestTerminalHacking""]~=false","SetQuestState(""Save KuQuo"",""success"");",,[],,,[],,,FALSE,,,{{omit}},876.0883;195.9493
KuQuo_10_10,10,10,8,1,,,found the terminal !!!!!,False,Block,Normal,"Variable[""QuestTerminalHacking""]~=true",,,[],,,[],,,FALSE,,,{{omit}},1114.063;178.2279
Player_10_11,10,11,1,8,,,what's next?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},829.2528;259.8734
KuQuo_10_12,10,12,8,1,,,follow the line what i explore jungle mind from my soul view layer.,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},974.8226;308.6075
Player_10_13,10,13,1,8,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},886.215;371.2658
KuQuo_10_14,10,14,8,1,New Dialogue Entry,,,False,Block,Normal,,,,[],"(optional) when save kuquo,it will show the nav line at outdoor jungle , else will not show for player(includes minimap)",,[],,,FALSE,,,{{omit}},250.7721;19.36708
Player_11_0,11,0,1,17,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},415;66
Shrine_11_1,11,1,17,1,,,Lighting Shrine,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},431;177
Player_11_2,11,2,1,17,,,Blessing,False,Block,Normal,,ShrineModule();,,[],,,[],,,,,,{{omit}},357;324
Player_11_3,11,3,1,17,,,Exit,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},601;314
Player_12_0,12,0,1,18,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},101.5455;12.36363
SVT_12_1,12,1,18,1,,,#ERROR!,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},231.5909;68.45456
Player_12_2,12,2,1,18,,,Login,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},63.22728;139.2728
Player_12_3,12,3,1,18,,,Exit,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},421.0454;113.5454
SVT_12_4,12,4,18,1,,,Validate........,False,Block,Normal,,"vContainItems(45,1);",,[],,,[],,,,,,{{omit}},247.8181;194.5454
SVT_12_5,12,5,18,1,,,::::GUEST MODE::::,False,Block,Normal,"Variable[""ContainsItems""]~=false","vRemoveItemByID(45,1);\nVariable[""QuestTerminalHacking""]=true;",,[],,,[],,,,,,{{omit}},203.1818;289.4091
Player_12_6,12,6,1,18,,,Got Gate Key,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},86.63637;434.6818
SVT_12_7,12,7,18,1,,,Failed,False,Block,Normal,"Variable[""ContainsItems""]~=true",,,[],,,[],,,,,,{{omit}},419.5455;262.9546
Player_12_8,12,8,1,18,,,Get Jails Key,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},329.0454;415.6363
SVT_12_9,12,9,18,1,,,success,False,Block,Normal,,"vAddItemByID(45,1,false);",,[],,,[],,,,,,{{omit}},85.49997;519.909
SVT_12_10,12,10,18,1,New Dialogue Entry,,,False,Block,Normal,,"vAddItemByID(46,1,false);",,[],,,[],,,,,,{{omit}},376.7727;562.2273
Player_13_0,13,0,1,19,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},316;51
TUR_13_1,13,1,19,1,,,Sodtyx Jails Logs,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},320;125
Player_13_2,13,2,1,19,,,View Logs,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},192;242
Player_13_3,13,3,1,19,,,Exit,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},425;202
Player_14_0,14,0,1,4,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},266;36
OutgoingLinks
OriginConvID,OriginID,DestConvID,DestID,ConditionPriority
Number,Number,Number,Number,Special
1,0,1,20,Normal
1,0,1,21,Normal
1,1,1,3,Normal
1,1,1,4,Normal
1,2,1,11,Normal
1,2,1,12,Normal
1,3,1,6,Normal
1,4,1,34,Normal
1,10,1,19,Normal
1,11,1,13,Normal
1,11,1,14,Normal
1,13,1,33,Normal
1,14,1,15,Normal
1,15,1,13,Normal
1,17,1,18,Normal
1,17,1,10,Normal
1,18,1,19,Normal
1,20,1,22,Normal
1,20,1,24,Normal
1,21,1,1,Normal
1,21,1,2,Normal
1,22,1,26,Normal
1,24,1,25,Normal
1,25,1,27,Normal
1,25,1,28,Normal
1,27,1,29,Normal
1,34,1,17,Normal
2,0,2,1,Normal
2,1,2,2,Normal
2,1,2,3,Normal
2,2,2,4,Normal
3,0,3,1,Normal
3,1,3,2,Normal
3,1,3,3,Normal
3,2,3,4,Normal
4,0,4,1,Normal
4,1,4,2,Normal
4,1,4,3,Normal
4,2,4,8,Normal
4,2,4,9,Normal
4,3,4,17,Normal
4,6,4,14,Normal
4,8,4,11,Normal
4,9,4,10,Normal
4,10,4,12,Normal
4,10,4,13,Normal
4,12,4,8,Normal
4,13,4,8,Normal
4,14,4,15,Normal
4,17,4,6,Normal
4,17,4,18,Normal
5,0,5,1,Normal
5,1,5,2,Normal
5,1,5,3,Normal
5,1,5,4,Normal
5,3,5,5,Normal
5,5,5,6,Normal
5,5,5,7,Normal
6,0,6,1,Normal
9,0,9,1,Normal
9,1,9,2,Normal
9,1,9,3,Normal
9,1,9,4,Normal
9,1,9,5,Normal
9,1,9,7,Normal
9,1,9,8,Normal
9,4,9,6,Normal
9,5,9,9,Normal
10,0,10,6,Normal
10,1,10,2,Normal
10,2,10,3,Normal
10,3,10,4,Normal
10,3,10,5,Normal
10,6,10,7,Normal
10,6,10,1,Normal
10,7,10,8,Normal
10,8,10,9,Normal
10,8,10,10,Normal
10,9,10,11,Normal
10,11,10,12,Normal
10,12,10,13,Normal
11,0,11,1,Normal
11,1,11,2,Normal
11,1,11,3,Normal
12,0,12,1,Normal
12,1,12,2,Normal
12,1,12,3,Normal
12,2,12,4,Normal
12,4,12,5,Normal
12,4,12,7,Normal
12,5,12,6,Normal
12,5,12,8,Normal
12,6,12,9,Normal
12,6,12,8,Normal
12,8,12,10,Normal
12,8,12,6,Normal
13,0,13,1,Normal
13,1,13,2,Normal
13,1,13,3,Normal
